Category_Set,Category_Occurrences,Total_Examples,Entity_Number
157 E. 74th Street,30,806179,1
23rd Regiment Armory,108,806179,2
32 Old Slip,80,806179,3
4 World Trade Center,14,806179,4
9/11 Memorial Museum,1,806179,5
"Aaron Davis Hall, City College of New York",7,806179,6
Abyssinian Baptist Church,1157,806179,7
Academy of Music,5335,806179,8
Acik Hava Tiyatrosu,12,806179,9
Acros Fukuoka,5,806179,10
Act City Concert Hall,8,806179,11
Adlai Stevenson High School,6,806179,12
Adrienne Arsht Center for the Performing Arts (Knight Concert Hall),6,806179,13
Aeolian Hall,6322,806179,14
Ahmed Adnan Saygun Arts Centre,10,806179,15
Ak-Sar-Ben Coliseum,6,806179,16
Al Jahili Fort,3,806179,17
Albee Theatre,5,806179,18
Alexander Hall,313,806179,19
Alice Tully Hall,1087,806179,20
Alte Oper,169,806179,21
Alumni Memorial Auditorium,18,806179,22
American Legion Auditorium,12,806179,23
Amphitheater at the Elinor Bunin Munroe Film Center,2,806179,24
Anderson Center for the Arts,14,806179,25
Andrew Jackson Hall,5,806179,26
Angel Orensanz Foundation,160,806179,27
Anhangabau,9,806179,28
Apollo Rooms,1682,806179,29
Apollo Saloon,18,806179,30
Apollo Theater,335,806179,31
Arcadia Auditorium,49,806179,32
Arena Theater,14,806179,33
Arie Crown Theater,10,806179,34
Armory,11,806179,35
Armory Auditorium,6,806179,36
Art Museum,70,806179,37
Artemus W. Ham Concert Hall,9,806179,38
Artpark,24,806179,39
Asia Society,741,806179,40
Assembly Hall,4,806179,41
"Assembly Rooms, Chinese Buildings",24,806179,42
Atatuerk Culture Center,9,806179,43
Athenaeum,20,806179,44
Athens Concert Hall,12,806179,45
Auditorio Alfredo Kraus,16,806179,46
Auditorio de Galicia,5,806179,47
Auditorio Nacional,7,806179,48
Auditorio Nacional de Musica,68,806179,49
Auditorio Palacio de Congresos Principe Felipe,4,806179,50
Auditorio y Palacio de Congresos,16,806179,51
Auditorium,88,806179,52
Auditorium Arena,5,806179,53
Auditorium Hall,16,806179,54
Auditorium Parco della Musica,18,806179,55
Auditorium Parco della Musica - Santa Cecilia Hall,5,806179,56
Auditorium Theatre,38,806179,57
Augusteo,17,806179,58
Aula Magna,12,806179,59
Avery Fisher Hall,235073,806179,60
Aycock Auditorium,6,806179,61
Bailey Hall,295,806179,62
Baita at Eataly,290,806179,63
Baker Hall,9,806179,64
Balboa Park Bowl,7,806179,65
Bank of New York,5,806179,66
Baptist Church,12,806179,67
Barbican Centre,148,806179,68
Baseball Stadium,14,806179,69
Battery Park,3,806179,70
Beethoven-Saal,5,806179,71
Beethovenhalle,36,806179,72
Belasco Theatre,14,806179,73
"Bell House, The",240,806179,74
Berkeley Community Theatre,6,806179,75
Bethany College Auditorium,24,806179,76
Bethel Woods Center for the Arts,617,806179,77
Bijou Theater,52,806179,78
Biltmore Hotel,30,806179,79
Binyanei Ha'ooma,5,806179,80
Blockbuster-Sony Music Entertainment Center,3,806179,81
Blossom Music Center,4,806179,82
Blumenthal Performing Arts Center,7,806179,83
Bob Carr Performing Arts Centre,5,806179,84
Boettcher Concert Hall,9,806179,85
Bolshoi Hall,112,806179,86
Bolshoi Theatre,20,806179,87
Bolshoi Zal,65,806179,88
Boyd's Theatre,7,806179,89
Brick Church,12,806179,90
Broad Street Theatre,21,806179,91
Broadway Tabernacle,114,806179,92
Brookhaven Amphitheater,13,806179,93
Brooklyn Academy of Music,2327,806179,94
"Brooklyn Center for the Performing Arts, Whitman Hall",25,806179,95
Brooklyn Institute of Arts and Sciences,300,806179,96
Brucknerhaus,5,806179,97
Bruno Walter Auditorium,176,806179,98
Bryant Park,27,806179,99
Buckfire residence,12,806179,100
Buckingham Hall,293,806179,101
Bunka Kaikan,56,806179,102
Bunka Kaikan (Chiba-ken),5,806179,103
Burns Theater,6,806179,104
Burtis Auditorium,32,806179,105
Bush-Brown Concert Theater,54,806179,106
Bushnell Auditorium,248,806179,107
Byrnes Auditorium,5,806179,108
C.Y. Stephens Auditorium,106,806179,109
Calderone Theater,8,806179,110
Cam-Plex Heritage Center,80,806179,111
Cambria Theater,24,806179,112
Cameron Indoor Stadium,4,806179,113
Camp Dix,16,806179,114
Camp Kilmer,20,806179,115
Cankarjev dom (Gallus Hall),13,806179,116
Capitol Theatre,11,806179,117
Caramoor Venetian Theater,7,806179,118
Carnegie Chamber Music Hall at Carnegie Hall,276,806179,119
Carnegie Hall,107572,806179,120
Carnegie Lyceum,179,806179,121
Carnegie Music Hall,4,806179,122
Casino,6,806179,123
"Caspary Auditorium, The Rockefeller University",333,806179,124
Castle Garden,91,806179,125
Cathedrale de Chartres,3,806179,126
Caupolicán,7,806179,127
CBS Studio,3,806179,128
Centar,6,806179,129
Centennial Hall,8,806179,130
"Center for the Arts, College of Staten Island / CUNY",1162,806179,131
Central High School,15,806179,132
Centro de Bellas Artes Luis A. Ferré (Sala Antonio Paoli),19,806179,133
Century II Convention Hall,8,806179,134
Century Theatre,329,806179,135
Cercle de l'Union Interalliée,16,806179,136
Châtelet Théâtre,14,806179,137
Chiang Kai Shek Cultural Center,8,806179,138
Chickering Hall,234,806179,139
Church of the Holy Trinity,2212,806179,140
Citibank,214,806179,141
City Auditorium,384,806179,142
City Hall,389,806179,143
City Hall Auditorium,7,806179,144
City Opera House,5,806179,145
City University of New York,1354,806179,146
Civic Arena,4,806179,147
Civic Auditorium,39,806179,148
Civic Center,16,806179,149
Civic Music league,6,806179,150
Clark Studio Theater,18,806179,151
Clemens Center,4,806179,152
Clemson College,6,806179,153
Clove Lake Park,106,806179,154
Clowes Memorial Hall,5,806179,155
Club Alianza,8,806179,156
Co-op City,148,806179,157
"Colden Auditorium, Queens College",112,806179,158
Coliseu dos Recreios,6,806179,159
Coliseum,50,806179,160
Coliseum Theater,6,806179,161
Coliseum Theatre,6,806179,161
College Auditorium,157,806179,162
College of Industrial Arts,24,806179,163
Collingwood Opera House,28,806179,164
Colonial Theatre,16,806179,165
Colonial Theater,6,806179,165
Columbia Music Festival,10,806179,166
Columbia University - Gymnasium,36,806179,167
Community Auditorium (Emens College),5,806179,168
Community Theater,10,806179,169
Concert Hall (Aichi),29,806179,170
Concert Hall Esplanade,20,806179,171
Concert House,5,806179,172
Concertgebouw,100,806179,173
Concha Acustica,6,806179,174
Concord Pavilion,22,806179,175
Constitution Hall,222,806179,176
Convention Center,6,806179,177
Convention Hall,260,806179,178
Convention Hall Ballroom,6,806179,179
Converse Auditorium,7,806179,180
Cooper Union,993,806179,181
Copley Symphony Hall,10,806179,182
Cosmopolitan Club,132,806179,183
Cotton Palace Coliseum,39,806179,184
Court of the Altar,14,806179,185
Court Square Theater,55,806179,186
Court Theatre,10,806179,187
Credit Suisse Headquarters,5,806179,188
Credit Suisse offices,16,806179,189
Crocheron Park,174,806179,190
Crouse-Hinds Theater,2,806179,191
Cultural Center of the Philippines,47,806179,192
Cunningham Park,283,806179,193
CWP Auditorium,84,806179,194
Dade County Auditorium,15,806179,195
Daejeon Culture and Arts Center,22,806179,196
Damrosch Park,61,806179,197
Dane County Memorial Coliseum,20,806179,198
Daniel Recital Hall,207,806179,199
Darling Theatre,32,806179,200
David Geffen Hall,8202,806179,201
David Rubenstein Atrium at Lincoln Center,95,806179,202
Davies Symphony Hall,40,806179,203
De Vink Residence,16,806179,204
De Warande,12,806179,205
Dee Events Center,5,806179,206
Delaware Valley Garden,8,806179,207
Detroit Armory,38,806179,208
Deutsches Museum,18,806179,209
Deutschlandhalle,5,806179,210
Dewitt Clinton High School,4,806179,211
Didi and Oscar Schafer Residence,8,806179,212
DiMenna Center,42,806179,213
Dom Sindikatu,27,806179,214
Donna and Marvin Schwartz Center for the Performing Arts (Emerson Concert Hall),13,806179,215
Donovan Pavilion,33,806179,216
